Date,neg,neu,pos,compound
2018-02-27,0.13066666666666668,0.805,0.064,-0.3511666666666666
2018-02-28,0.101,0.899,0.0,-0.4019
2018-03-05,0.148,0.764,0.088,-0.4939
2018-03-06,0.043,0.837,0.12,0.28325
2018-03-07,0.032,0.8634999999999999,0.10450000000000001,0.27465
2018-03-08,0.0255,0.8035,0.171,0.64755
2018-03-13,0.0,0.852,0.148,0.7783
2018-03-19,0.0,1.0,0.0,0.0
2018-03-21,0.0,0.899,0.101,0.4215
2018-03-22,0.0,0.791,0.209,0.706
2018-03-23,0.0275,0.923,0.0495,-0.01655000000000001
2018-03-26,0.0,0.904,0.096,0.4939
2018-03-29,0.105,0.8485,0.0465,-0.39185
2018-04-02,0.203,0.797,0.0,-0.9215
2018-04-06,0.2,0.8,0.0,-0.8939
2018-04-09,0.0,0.71,0.29,0.91
2018-04-13,0.0475,0.8795,0.0725,0.1591
2018-04-17,0.0,0.887,0.113,0.4215
2018-04-18,0.0,0.887,0.113,0.8176
2018-04-20,0.044,0.874,0.082,0.296
2018-04-23,0.2045,0.7795,0.016,-0.7134
2018-04-24,0.028,0.9390000000000001,0.033,0.08815000000000003
2018-04-25,0.0,1.0,0.0,0.0
2018-04-26,0.03,0.933,0.037,0.128
2018-04-27,0.10533333333333333,0.8523333333333333,0.042333333333333334,-0.11739999999999999
2018-04-30,0.0,0.9415,0.058499999999999996,0.34335
2018-05-01,0.056,0.872,0.073,0.1779
2018-05-02,0.027,0.85,0.123,0.743
2018-05-03,0.0,0.919,0.081,0.5719
2018-05-07,0.205,0.795,0.0,-0.7717
2018-05-09,0.0845,0.721,0.1945,0.09355000000000002
2018-05-10,0.0,0.8945000000000001,0.1055,0.3787
2018-05-11,0.062,0.8063333333333333,0.13166666666666665,-0.06916666666666667
2018-05-14,0.1075,0.7585,0.134,-0.03550000000000003
2018-05-18,0.0,0.957,0.043,0.2732
2018-05-21,0.284,0.679,0.037,-0.9538
2018-05-22,0.0,0.813,0.187,0.6478
2018-05-30,0.0,1.0,0.0,0.0
2018-05-31,0.173,0.768,0.059,-0.64215
2018-06-01,0.129,0.7825,0.089,-0.23714999999999997
2018-06-05,0.094,0.765,0.14,0.2023
2018-06-08,0.133,0.725,0.143,0.1027
2018-06-11,0.07050000000000001,0.8365,0.0935,0.11380000000000001
2018-06-12,0.0185,0.9410000000000001,0.04,0.1909
2018-06-18,0.0375,0.749,0.2135,0.35140000000000005
2018-06-19,0.10225000000000001,0.8275,0.07025,-0.065525
2018-06-21,0.118,0.882,0.0,-0.6597
2018-06-22,0.127,0.873,0.0,-0.6908
2018-06-27,0.089,0.837,0.074,0.046
2018-06-29,0.0905,0.8625,0.0475,-0.29569999999999996
2018-07-02,0.06,0.909,0.031,-0.296
2018-07-03,0.036,0.8883333333333333,0.07566666666666667,0.15546666666666664
2018-07-05,0.102,0.772,0.126,0.0516
2018-07-06,0.0,0.9170000000000001,0.083,0.5096333333333334
2018-07-09,0.021666666666666667,0.9313333333333333,0.04699999999999999,0.2639666666666667
2018-07-11,0.043666666666666666,0.8456666666666667,0.11066666666666668,0.3021
2018-07-12,0.03,0.911,0.059,0.4329
2018-07-13,0.1416666666666667,0.7363333333333334,0.122,-0.06716666666666667
2018-07-20,0.0,0.976,0.024,0.1027
2018-07-23,0.0,0.7315,0.26849999999999996,0.8622000000000001
